2024-12-12 12:47:56,224 - INFO - URL: file:///C:/Users/xtx/Downloads/InteractiveBOM_%E9%9C%8D%E5%B0%94%E5%BC%80%E5%85%B3-OH34N_2024-12-12.html | LOG: 器件编号:C25804,10kΩ, 器件型号:10kΩ, 值:10kΩ
2024-12-12 12:47:57,677 - INFO - URL: file:///C:/Users/xtx/Downloads/InteractiveBOM_%E9%9C%8D%E5%B0%94%E5%BC%80%E5%85%B3-OH34N_2024-12-12.html | LOG: 器件编号:C23162,4.7kΩ, 器件型号:4.7kΩ, 值:4.7kΩ
2024-12-12 12:47:58,400 - INFO - URL: file:///C:/Users/xtx/Downloads/InteractiveBOM_%E9%9C%8D%E5%B0%94%E5%BC%80%E5%85%B3-OH34N_2024-12-12.html | LOG: 器件编号:C23162,4.7kΩ, 器件型号:4.7kΩ, 值:4.7kΩ
2024-12-12 12:51:11,820 - INFO - URL: file:///C:/Users/xtx/Downloads/InteractiveBOM_%E9%9C%8D%E5%B0%94%E5%BC%80%E5%85%B3-OH34N_2024-12-12.html | LOG: 器件编号:C90403,undefined, 器件型号:OH34N, 值:
2024-12-12 12:51:12,581 - INFO - URL: file:///C:/Users/xtx/Downloads/InteractiveBOM_%E9%9C%8D%E5%B0%94%E5%BC%80%E5%85%B3-OH34N_2024-12-12.html | LOG: 器件编号:C90403,undefined, 器件型号:OH34N, 值:
2024-12-12 12:51:13,128 - INFO - URL: file:///C:/Users/xtx/Downloads/InteractiveBOM_%E9%9C%8D%E5%B0%94%E5%BC%80%E5%85%B3-OH34N_2024-12-12.html | LOG: 器件编号:C90403,undefined, 器件型号:OH34N, 值:
2024-12-12 12:51:13,606 - INFO - URL: file:///C:/Users/xtx/Downloads/InteractiveBOM_%E9%9C%8D%E5%B0%94%E5%BC%80%E5%85%B3-OH34N_2024-12-12.html | LOG: 器件编号:C90403,undefined, 器件型号:OH34N, 值:
2024-12-12 12:51:14,311 - INFO - URL: file:///C:/Users/xtx/Downloads/InteractiveBOM_%E9%9C%8D%E5%B0%94%E5%BC%80%E5%85%B3-OH34N_2024-12-12.html | LOG: 器件编号:C90403,undefined, 器件型号:OH34N, 值:
2024-12-12 12:51:14,920 - INFO - URL: file:///C:/Users/xtx/Downloads/InteractiveBOM_%E9%9C%8D%E5%B0%94%E5%BC%80%E5%85%B3-OH34N_2024-12-12.html | LOG: 器件编号:C90403,undefined, 器件型号:OH34N, 值:
2024-12-12 12:51:18,547 - INFO - URL: file:///C:/Users/xtx/Downloads/InteractiveBOM_%E9%9C%8D%E5%B0%94%E5%BC%80%E5%85%B3-OH34N_2024-12-12.html | LOG: 器件编号:C90403,undefined, 器件型号:OH34N, 值:
2024-12-12 12:51:19,312 - INFO - URL: file:///C:/Users/xtx/Downloads/InteractiveBOM_%E9%9C%8D%E5%B0%94%E5%BC%80%E5%85%B3-OH34N_2024-12-12.html | LOG: 器件编号:C90403,undefined, 器件型号:OH34N, 值:
2024-12-12 12:51:21,081 - INFO - URL: file:///C:/Users/xtx/Downloads/InteractiveBOM_%E9%9C%8D%E5%B0%94%E5%BC%80%E5%85%B3-OH34N_2024-12-12.html | LOG: 器件编号:C23162,4.7kΩ, 器件型号:4.7kΩ, 值:4.7kΩ
2024-12-12 12:51:25,356 - INFO - URL: file:///C:/Users/xtx/Downloads/InteractiveBOM_%E9%9C%8D%E5%B0%94%E5%BC%80%E5%85%B3-OH34N_2024-12-12.html | LOG: 器件编号:C25804,10kΩ, 器件型号:10kΩ, 值:10kΩ
2024-12-12 12:51:25,780 - INFO - URL: file:///C:/Users/xtx/Downloads/InteractiveBOM_%E9%9C%8D%E5%B0%94%E5%BC%80%E5%85%B3-OH34N_2024-12-12.html | LOG: 器件编号:C25804,10kΩ, 器件型号:10kΩ, 值:10kΩ
2024-12-12 12:51:36,252 - INFO - URL: file:///C:/Users/xtx/Downloads/InteractiveBOM_%E9%9C%8D%E5%B0%94%E5%BC%80%E5%85%B3-OH34N_2024-12-12.html | LOG: 器件编号:C2937625,undefined, 器件型号:PZ254V-11-03P, 值:
2024-12-12 12:51:36,914 - INFO - URL: file:///C:/Users/xtx/Downloads/InteractiveBOM_%E9%9C%8D%E5%B0%94%E5%BC%80%E5%85%B3-OH34N_2024-12-12.html | LOG: 器件编号:C72041,undefined, 器件型号:19-217/BHC-ZL1M2RY/3T, 值:
2024-12-12 13:00:53,567 - INFO - URL: file:///C:/Users/xtx/Downloads/InteractiveBOM_%E9%9C%8D%E5%B0%94%E5%BC%80%E5%85%B3-OH34N_2024-12-12.html | LOG: 器件编号:C2937625,undefined, 器件型号:PZ254V-11-03P, 值:
